All,Vše
"Last Orders","Poslední objednávky"
"Last Search Terms","Poslední hledané výrazy"
"Top Search Terms","Nejhledanější výrazy"
"There are no search keywords.","Žádné hledané slova nejsou."
"View Statistics For:","Zobrazit statistiky pro:"
"All Websites","Všechny weby"
"Reload Data",Aktualizovat
"Browse Files...","Procházet soubory..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. Všechna práva vyhrazena."
"Magento Admin Panel","Magento správa"
"Account Setting","Nastavení účtu"
"Customer View","Zobrazit obchod"
"Sign Out","Odhlásit se"
"About the calendar","O kalendáři"
"Go Today",Dnes
Previous,Předchozí
Next,Následující
WK,T
Time,Čas
Hour,Hodina
Minute,Minuta
"JavaScript may be disabled in your browser.","Javascript ve vašem prohlížeči může být vypnutý."
"To use this website you must first enable JavaScript in your browser.","Chcete-li použít tuto webovou stránku je třeba nejprve povolit JavaScript ve vašem prohlížeči."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Toto je pouze testovací obchod. Můžete procházet a objednávat produkty, ale žádné transakce nebo objednávky nebudou zpracovány."
"Report an Issue","Nahlásit problém"
"Stores Configuration","Nastavení obchodů"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Potvrďte přepnutí rozsahu. Všechny neuložené změny budou ztraceny."
"Additional Cache Management","Správa dalších mezipamětí"
"Flush Catalog Images Cache","Vyprázdnit mezipaměť obrázků"
"Pregenerated product images files","Obrázky produktů budou přegenerovány"
"Flush JavaScript/CSS Cache","Vyprázdnit mezipaměť JS/CSS"
"Themes JavaScript and CSS files combined to one file","Soubory JS a CSS budou sloučeny do jednoho souboru"
"Flush Static Files Cache","Vyprázdnit mezipaměť statických souborů"
"Preprocessed view files and static files","Předzpracované zobrazované soubory a statické soubory"
Catalog,Katalog
"JavaScript/CSS Cache","Mezipaměť JS/CSS"
"No records found.","Nebyly nalezeny žádné záznamy."
Images,Obrázky
"Big Image","Velký obrázek"
Thumbnail,Náhled
"Additional Settings","Další nastavení"
"records found","nalezených záznamů"
selected,zvoleno
"per page","na stránce"
"Previous page","Předchozí stránka"
"of %1","z %1"
"Next page","Další stránka"
"Export to:","Export do:"
"Mass Actions",Hromadně
"Unselect All","Zrušit výběr všech"
"Select Visible","Zvolit viditelné"
"Unselect Visible","Zrušit výběr viditelných"
"Changes have been made to this section that have not been saved.","V této sekci byly provedeny změny, které nebyly uloženy."
"This tab contains invalid data. Please resolve this before saving.","Tato záložka obsahuje neplatná data. Před uložením odstraňte problém prosím."
"The information in this tab has been changed.","Údaje v této záložce byly změněny."
Loading...,Nahrávám...
"User Agent Rules","Pravidla User Agenta"
"We could not detect a size.","Velikost nelze zjistit."
"Allow everything","Povolit vše"
"Magento Admin","Magento správce"
"Global Search","Globální vyhledávání"
"SEO & Search","SEO & Vyhledávání"
"User Content","Uživatelský obsah"
Content,Obsah
Elements,Prvky
Design,Vzhled
Schedule,Plánování
Settings,Nastavení
Attributes,Atributy
"Other Settings","Další nastavení"
"Data Transfer","Přenos dat"
"Connect Manager","Connect správce"
"Package Extensions","Balíček rozšíření"
Tools,Nástroje
Currency,Měna
Communications,Komunikace
Services,Služby
Advanced,"Pokročilá nastavení"
"Disable Modules Output","Vypnout výstup modulů"
"Store Email Addresses","E-mailové adresy obchodu"
"Custom Email 1","Vlastní e-mail 1"
"Sender Email","E-mail odesílatele"
"Sender Name","Jméno odesílatele"
"Custom Email 2","Vlastní e-mail 2"
"General Contact","Hlavní kontakt"
"Sales Representative","Obchodní kontakt"
"Customer Support","Uživatelská podpora"
Developer,Vývojář
"Template Settings","Nastavení šablony"
"Allow Symlinks","Povolit symbolické odkazy"
"Minify Html","Komprimovat HTML"
"Minification is not applied in developer mode.","Komprimaci nelze použít v režimu vývojáře."
"Translate Inline","Přímý překlad"
"Enabled for Storefront","Zapnuto v obchodu"
"Enabled for Admin","Zapnuto ve správě"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Pro přímý překlad obchodu i správy by měly být vypnuty mezipaměti překladů, bloků a ostatních výstupů."
"JavaScript Settings","Nastavení JavaScriptu"
"Merge JavaScript Files","Sloučit JS soubory"
"Enable JavaScript Bundling","Zapnout svazkování javascriptu"
"Minify JavaScript Files","Komprimovat JS soubory"
"CSS Settings","Nastavení CSS"
"Merge CSS Files","Sloučit CSS soubory"
"Minify CSS Files","Komprimovat CSS soubory"
"Image Processing Settings","Nastavení zpracování obrázků"
"Image Adapter","Adaptér obrázků"
"Static Files Settings","Nastavení statických souborů"
"Sign Static Files","Registrovat statické soubory"
"Country Options","Nastavení zemí"
"Allow Countries","Povolené země"
"Default Country","Výchozí země"
"European Union Countries","Země EU"
"Top destinations","Top země"
"Locale Options","Místní nastavení"
Timezone,"Časové pásmo"
Locale,"Národní prostředí"
"First Day of Week","První den týdne"
"Weekend Days","Dny volna"
"Store Name","Název obchodu"
"Store Phone Number","Telefonní číslo obchodu"
"Store Hours of Operation","Provozní doba obchodu"
Country,Země
Region/State,"Kraj / region"
"ZIP/Postal Code",PSČ
City,Město
"Street Address",Ulice
"Street Address Line 2","2 řádek ulice"
"VAT Number",DIČ
"Single-Store Mode","Režim jednoho obchodu"
"Enable Single-Store Mode","Zapnout režim jednoho obchodu"
"This setting will not be taken into account if system has more than one store view.","Toto nastavení nebude brát v úvahu případná další vytvořená zobrazení obchodu."
"Mail Sending Settings","Nastavení odchozí pošty"
"Disable Email Communications","Vypnout e-mailovou komunikaci"
Host,Hostitel
"Set Return-Path","Nastavit e-mail pro odpověď"
"Return-Path Email","E-mail pro odpověď"
"Enable Frontend Resize","Povolit změnu velikosti"
"Admin User Emails","Nastavení e-mailů správce"
"Forgot Password Email Template","Šablona e-mailu obnovy hesla"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Forgot and Reset Email Sender","Odesílatel e-mailu obnovy hesla"
"Startup Page","Po spuštění stránky"
"Admin Base URL","Základní URL adminu"
"Use Custom Admin URL","Použít vlastní URL správy"
"Custom Admin URL","Vlastní URL správy"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Ujistěte se, že základní URL končí lomítkem, např. http://www.domena.cz/obchod/"
"Use Custom Admin Path","Použít vlastní cestu správy"
"Custom Admin Path","Vlastní cesta správy"
"You will have to sign in after you save your custom admin path.","Po uložení vlastní cesty správy se budete muset znovu přihlásit."
Security,Zabezpečení
"Recovery Link Expiration Period (hours)","Platnost odkazu obnovy hesla (hodiny)"
"Please enter a number 1 or greater in this field.","Do tohoto údaje zadejte číslo 1 nebo větší."
"Add Secret Key to URLs","Přidat k URL tajný klíč"
"Login is Case Sensitive","Rozlišovat velikost znaků přihlašovacího jména"
"Admin Session Lifetime (seconds)","Životnost relace (vteřiny)"
"Please enter at least 60 and at most 31536000 (one year).","Zadejte hodnotu od 60 do 31536000 (jeden rok)."
"Enable Charts","Zapnout grafy"
"Url Options","Nastavení URL"
"Add Store Code to Urls","Přidat k URL kód obchodu"
"Auto-redirect to Base URL","Automatické přesměrování na základní URL"
"Search Engine Optimization","Optimalizace pro vyhledávače"
"Use Web Server Rewrites","Používat přepis URL serveru"
"Base URLs","Základní URL"
"Base URL","Základní URL"
"Specify URL or {{base_url}} placeholder.","Zadejte URL nebo použijte {{base_url}} proměnnou."
"Base Link URL","Základní URL odkazů"
"Base URL for Static View Files","Základní URL statických souborů"
"May be empty or start with {{unsecure_base_url}} placeholder.","Může být prázdné nebo začínat {{unsecure_base_url}} proměnnou."
"Base URL for User Media Files","Základní URL médií"
"Base URLs (Secure)","Základní URL (zabezpečená)"
"Secure Base URL","Základní zabezpečená URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Zadejte URL nebo  {{base_url}} nebo {{unsecure_base_url}} proměnnou."
"Secure Base Link URL","Zabezpečená URL odkazů"
"Secure Base URL for Static View Files","Zabezpečená URL statických souborů"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Může být prázdné nebo začínat {{secure_base_url}} nebo {{unsecure_base_url}}  proměnnou."
"Secure Base URL for User Media Files","Zabezpečená URL médií"
"Use Secure URLs on Storefront","Používat zabezpečené URL v obchodě"
"Use Secure URLs in Admin","Používat zabezpečené URL ve správě"
"Enable HTTP Strict Transport Security (HSTS)","Zapnout HTTP Strict Transport Security (HSTS)"
"Upgrade Insecure Requests","Upravit nezabezpečené dotazy"
"Offloader header","Offloader hlavička"
"Default Pages","Výchozí stránky"
"Default Web URL","Výchozí URL webu"
"Default No-route URL","Výchozí URL bez směrování"
"Session Validation Settings","Nastavení ověření relace"
"Validate REMOTE_ADDR","Kontrolovat REMOTE_ADDR"
"Validate HTTP_VIA","Kontrolovat HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Kontrolovat HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Kontrolovat HTTP_USER_AGENT"
"Cache Type","Typ mezipaměti"
Description,Popis
Tags,Štítky
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Chyba 404</h1><p>Stránka nenalezena.</p>"
"Community Edition",CE
"Default Theme","Výchozí téma"
"If no value is specified, the system default is used. The system default may be modified by third-party extensions.","Pokud není zadána žádná hodnota, je použita hpdnota výchozí. Výchozí nastavení systému může být upraveno rozšířeními třetích stran."
"Applied Theme","Použité téma"
"Design Rule","Pravidlo vzhledu"
Pagination,Stránkování
"How many links to display at once.","Počet současně zobrazených odkazů na stránky."
"Pagination Frame","Počet stránek v bloku"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Při velkém počtu stránek v katalogu je vhodné umožnit rychlý posun v zobrazených odkazech."
"Pagination Frame Skip","Počet stránek při posunu v bloku"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternativní text odkazu předchozí stránky. Pokud jej nezadáte, použije se výchozí šipka."
"Anchor Text for Previous","Text odkazu předchozí stránky"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternativní text odkazu následující stránky. Pokud jej nezadáte, použije se výchozí šipka."
"Anchor Text for Next","Text odkazu následující stránky"
"Theme Name","Název tématu"
"System Backup","Záloha systému"
"Database and Media Backup","Záloha databáze a médií"
"Database Backup","Záloha databáze"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","V systémech Windows lze rozbalit v <a href=""%1"">%2</a>."
"You need more permissions to activate maintenance mode right now.","Ke spuštění režimu údržby nemáte potřebná oprávnění."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Chcete-li v zálohování pokračovat, zrušte zaškrtnutí ""Přepnout obchod do režimu údržby"" nebo upravte svá oprávnění."
"Something went wrong while putting your store into maintenance mode.","Při přepnutí obchodu do režimu údržby nastala chyba."
"You need more free space to create a backup.","K vytvoření zálohy potřebujete více volného prostoru na disku."
